05Jwg,r3k1r1/2p2p2/p3pP2/1pq5/2p1P3/2N4p/PQP2RPP/1R4K1 w q - 1 26,g1f1 g8g2 f2g2 h3g2 f1g2 e8c8,2734,108,92,501,advancedPawn advantage castling defensiveMove long middlegame,https://lichess.org/lB0gzIcX#51
05K8U,r2k4/pp5q/8/2P3p1/1P4b1/2PK2Q1/P1B1r2P/R1B4R w - - 9 29,d3c4 g4e6 c4d4 h7c2 g3d3 d8e8,2773,92,86,120,advantage defensiveMove long middlegame,https://lichess.org/5fWU9DML#57
05MGM,6k1/6p1/3K4/2pPp1P1/2P1Np2/r4P2/8/8 b - - 0 48,a3f3 d6e7 g8h7 d5d6 f3d3 e4c5 d3d4 d6d7,2603,100,90,70,advancedPawn crushing endgame veryLong,https://lichess.org/hQQrBunH/black#96
05UEp,r4k2/1p3pb1/2p3p1/8/2pNp2Q/2PnP3/1q3P1R/5K1R b - - 6 35,g6g5 h4g5 a8a1 f1g2 b2f2 g2h3 f7f6 d4e6 f8f7 g5g7,2603,83,72,145,crushing middlegame veryLong,https://lichess.org/Ov2XqMoW/black#70
05dOY,8/8/8/K1Pk1pp1/8/7P/1P6/8 w - - 0 43,b2b4 g5g4 h3g4 f5g4 b4b5 g4g3 c5c6 d5d6,2648,86,84,52,crushing endgame pawnEndgame veryLong,https://lichess.org/3Swfhwf7#85
05nJe,r4k1N/p1p2Bpp/1b6/2p3q1/4n3/5P2/PP4KP/R3Q2R w - - 4 24,g2f1 e4d2 f1e2 c5c4 e1d2 g5g2 e2d1 g2f3 d1c2 f3e4,2721,108,91,110,crushing deflection exposedKing fork middlegame quietMove sacrifice veryLong,https://lichess.org/tMKXqLiG#47
05sf4,4K3/4R1P1/8/2k5/1p6/p7/1N6/6r1 w - - 0 51,e7c7 c5b6 c7c2 g1g7,2600,82,85,211,advantage defensiveMove endgame short,https://lichess.org/TmXl5rzn#101
05uNL,8/6p1/2k4p/2P1pp1P/7r/3PK3/1PR5/8 w - - 2 46,c2c4 h4c4 d3c4 c6c5 e3d3 c5b4 b2b3 f5f4 d3e4 b4c5,2630,88,94,730,crushing endgame quietMove rookEndgame veryLong zugzwang,https://lichess.org/mTR1pPWd#91
06IzH,8/7p/4k1p1/8/3KPp2/8/6PP/8 b - - 0 36,h7h5 e4e5 h5h4 h2h3 e6d7 d4e4,2690,104,90,312,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/BnNVM2Dz/black#72
06Ohv,r1B4r/p1q1n2p/1P3Q1B/4p3/kP1ppp2/3P4/6PP/5RK1 b - - 0 28,c7c8 f1a1 a4b3 f6f7 b3c3 b6b7,2660,94,81,100,advancedPawn advantage fork long middlegame,https://lichess.org/k2xeWGKX/black#56
